iso_time,t_rel_s,temp_c,setpoint_c,power_pct
2025-09-05T11:33:21,0.115,20.044,34.000,3042.71
2025-09-05T11:33:22,1.109,20.065,34.000,9210.71
2025-09-05T11:33:23,2.103,19.937,34.000,9271.64
2025-09-05T11:33:24,3.107,19.798,34.000,9328.05
2025-09-05T11:33:25,4.107,19.745,34.000,9336.59
2025-09-05T11:33:26,5.107,19.819,34.000,9302.42
2025-09-05T11:33:27,6.104,19.915,34.000,9272.51
2025-09-05T11:33:28,7.110,19.990,34.000,9233.20
2025-09-05T11:33:29,8.110,20.012,34.000,9229.78
2025-09-05T11:33:30,9.108,20.108,34.000,9184.47
2025-09-05T11:33:31,10.104,20.204,34.000,9146.00
2025-09-05T11:33:32,11.109,20.300,34.000,9124.62
2025-09-05T11:33:33,12.112,20.396,34.000,9069.03
2025-09-05T11:33:34,13.109,20.503,34.000,9026.26
2025-09-05T11:33:35,14.105,20.632,34.000,8973.21
2025-09-05T11:33:36,15.110,20.739,34.000,8932.12
2025-09-05T11:33:37,16.110,20.846,34.000,8889.31
2025-09-05T11:33:38,17.112,20.953,34.000,8846.50
2025-09-05T11:33:39,18.105,21.060,34.000,8803.66
2025-09-05T11:33:40,19.112,21.178,34.000,8756.53
2025-09-05T11:33:41,20.114,21.285,34.000,8713.68
2025-09-05T11:33:42,21.114,21.381,34.000,8676.81
2025-09-05T11:33:43,22.107,21.488,34.000,8632.21
2025-09-05T11:33:44,23.112,21.596,34.000,8610.76
2025-09-05T11:33:45,24.119,21.692,34.000,8552.40
2025-09-05T11:33:46,25.114,21.789,34.000,8529.22
2025-09-05T11:33:47,26.109,21.875,34.000,8479.41
2025-09-05T11:33:48,27.117,21.971,34.000,8440.75
2025-09-05T11:33:49,28.112,22.068,34.000,8402.08
2025-09-05T11:33:50,29.115,22.154,34.000,8367.69
2025-09-05T11:33:51,30.116,22.240,34.000,8333.28
2025-09-05T11:33:52,31.112,22.337,34.000,8294.57
2025-09-05T11:33:53,32.218,22.423,34.000,8260.15
2025-09-05T11:33:54,33.256,22.509,34.000,8225.70
2025-09-05T11:33:55,34.114,22.606,34.000,8186.95
2025-09-05T11:33:56,35.118,22.692,34.000,8169.72
2025-09-05T11:33:57,36.116,22.778,34.000,8118.00
2025-09-05T11:33:58,37.116,22.864,34.000,8083.51
2025-09-05T11:33:59,38.117,22.951,34.000,8049.00
2025-09-05T11:34:00,39.126,23.037,34.000,8014.48
2025-09-05T11:34:01,40.114,23.123,34.000,7979.95
2025-09-05T11:34:02,41.114,23.188,34.000,7955.77
2025-09-05T11:34:03,42.115,23.263,34.000,7925.53
2025-09-05T11:34:04,43.123,23.339,34.000,7893.55
2025-09-05T11:34:05,44.124,23.426,34.000,7858.96
2025-09-05T11:34:06,45.120,23.512,34.000,7824.36
2025-09-05T11:34:07,46.118,23.588,34.000,7795.80
2025-09-05T11:34:08,47.121,23.664,34.000,7763.77
2025-09-05T11:34:09,48.132,23.739,34.000,7735.18
2025-09-05T11:34:10,49.117,23.815,34.000,7704.86
2025-09-05T11:34:11,50.119,23.924,34.000,7656.30
2025-09-05T11:34:12,51.120,24.130,34.000,7566.89
2025-09-05T11:34:13,52.119,24.347,34.000,7481.78
2025-09-05T11:34:14,53.123,24.477,34.000,7436.55
2025-09-05T11:34:15,54.119,24.542,34.000,7413.92
2025-09-05T11:34:16,55.121,24.619,34.000,7383.45
2025-09-05T11:34:17,56.132,24.684,34.000,7357.32
2025-09-05T11:34:18,57.122,24.749,34.000,7331.18
