iso_time,t_rel_s,temp_c,setpoint_c,power_pct
2025-09-15T11:26:47,0.917,19.958,36.000,10000.00
2025-09-15T11:26:48,1.917,19.947,36.000,10000.00
2025-09-15T11:26:49,2.916,19.937,36.000,10000.00
2025-09-15T11:26:50,3.919,19.937,36.000,10000.00
2025-09-15T11:26:51,4.916,19.937,36.000,10000.00
2025-09-15T11:26:52,5.917,19.937,36.000,10000.00
2025-09-15T11:26:53,6.917,19.937,36.000,10000.00
2025-09-15T11:26:54,7.918,19.937,36.000,10000.00
2025-09-15T11:26:55,8.915,19.937,36.000,10000.00
2025-09-15T11:26:56,9.918,19.937,36.000,10000.00
2025-09-15T11:26:57,10.921,19.937,36.000,10000.00
2025-09-15T11:26:58,11.922,19.937,36.000,10000.00
2025-09-15T11:26:59,12.922,19.937,36.000,10000.00
2025-09-15T11:27:00,13.923,19.937,36.000,10000.00
2025-09-15T11:27:01,14.920,19.937,36.000,10000.00
2025-09-15T11:27:02,15.921,19.947,36.000,10000.00
2025-09-15T11:27:03,16.918,19.947,36.000,10000.00
2025-09-15T11:27:04,17.920,19.937,36.000,10000.00
2025-09-15T11:27:05,18.920,19.947,36.000,10000.00
2025-09-15T11:27:06,19.921,19.947,36.000,10000.00
2025-09-15T11:27:07,20.923,19.947,36.000,10000.00
2025-09-15T11:27:08,21.921,19.947,36.000,10000.00
2025-09-15T11:27:09,22.921,19.958,36.000,10000.00
2025-09-15T11:27:10,23.924,19.947,36.000,10000.00
2025-09-15T11:27:11,24.919,19.937,36.000,10000.00
2025-09-15T11:27:12,25.926,19.947,36.000,9999.79
2025-09-15T11:27:13,26.923,19.969,36.000,9996.80
2025-09-15T11:27:14,27.924,19.990,36.000,9993.80
2025-09-15T11:27:15,28.919,19.990,36.000,9995.51
2025-09-15T11:27:16,29.921,19.979,36.000,9997.01
2025-09-15T11:27:17,31.036,19.979,36.000,9997.01
2025-09-15T11:27:18,32.059,19.990,36.000,9993.80
2025-09-15T11:27:19,32.921,19.990,36.000,9995.51
2025-09-15T11:27:20,33.925,20.001,36.000,9994.02
2025-09-15T11:27:21,34.921,20.001,36.000,9994.02
2025-09-15T11:27:22,35.925,20.012,36.000,9992.52
2025-09-15T11:27:23,36.920,20.022,36.000,9989.32
2025-09-15T11:27:24,37.926,20.033,36.000,9989.53
2025-09-15T11:27:25,38.928,20.044,36.000,9986.33
2025-09-15T11:27:26,39.927,20.044,36.000,9988.03
2025-09-15T11:27:27,40.923,20.065,36.000,9983.33
2025-09-15T11:27:28,41.935,20.086,36.000,9980.34
2025-09-15T11:27:29,42.928,20.097,36.000,9980.55
